RouteID,POL,POD,High_Incidents,Medium_Incidents,Low_Incidents,No_Of_Travels,No_Of_Transhipments,Average_Transit_Days,Distance,Crew_Experience_Level,Training_Programs,Navigational_Risks,Carbon_Emissions,Operational_Cost,Total_Revenue,Regulatory_Compliance,Previous_Safety_Awards,Emergency_Response_Plans,Cargo_Type,Ship_Type,Average_Vessel_Age,Cargo_Value,RiskScore,Risk_Category
R0001,Tanger Med,Rotterdam,0,1,0,21,2,20,1517,12,irregular,clear,750,407396,1067291,compliant,no,not in place,hazardous,bulk carrier,9,339388,37,Medium
R0002,Gioia Tauro,Hamburg,0,1,6,80,0,16,1795,12,regular,clear,874,418250,940188,compliant,no,not in place,non-hazardous,container,16,520465,38,Medium
R0003,Piraeus,Hamburg,0,2,6,10,2,21,1271,15,regular,clear,937,227480,947974,non-compliant,no,in place,non-hazardous,container,5,589076,14,Low
R0004,Alexandria,Bremerhaven,1,1,6,42,2,19,1461,16,irregular,clear,675,359124,783990,compliant,no,not in place,non-hazardous,bulk carrier,16,387709,31,Medium
R0005,Port Sudan,Le Havre,0,1,5,23,0,19,1356,16,regular,congested areas,819,256332,905045,non-compliant,yes,not in place,hazardous,container,12,340003,18,Low
R0006,Jebel Ali,Dunkerque,0,1,0,73,0,16,1126,14,irregular,congested areas,947,431660,835480,compliant,no,not in place,hazardous,container,4,190436,40,Medium
R0007,Mumbai (Bombay),Sines,1,1,6,52,2,17,1483,14,regular,clear,786,426429,1007518,compliant,no,not in place,hazardous,bulk carrier,11,273958,39,Medium
R0008,Visakhapatnam,Valencia,1,1,5,67,1,23,1475,15,regular,clear,888,295024,801336,non-compliant,no,in place,hazardous,container,8,337326,23,Low
R0009,Chittagong,Algeciras,1,3,2,50,2,22,1802,15,irregular,clear,627,302641,1149469,compliant,yes,in place,non-hazardous,container,12,278493,24,Low
R0010,Fremantle,Gioia Tauro,0,0,4,90,2,16,1626,10,regular,congested areas,978,327549,698662,non-compliant,no,not in place,non-hazardous,bulk carrier,12,289009,27,Low
