RouteID,POL,POD,High_Incidents,Medium_Incidents,Low_Incidents,No_Of_Travels,No_Of_Transhipments,Average_Transit_Days,Distance,Crew_Experience_Level,Training_Programs,Navigational_Risks,Carbon_Emissions,Operational_Cost,Regulatory_Compliance,Previous_Safety_Awards,Emergency_Response_Plans,Cargo_Type,Ship_Type,Average_Vessel_Age,Cargo_Value,RiskScore,Risk_Category
0,PortC,PortX,0,1,0,21,2,20,1517,12,irregular,clear,750,407396,compliant,no,not in place,hazardous,bulk carrier,9,339388,37,Medium
1,PortC,PortX,0,1,6,80,0,16,1795,12,regular,clear,874,418250,compliant,no,not in place,non-hazardous,container,16,520465,38,Medium
2,PortB,PortX,0,2,6,10,2,21,1271,15,regular,clear,937,227480,non-compliant,no,in place,non-hazardous,container,5,589076,14,Low
3,PortC,PortY,1,1,6,42,2,19,1461,16,irregular,clear,675,359124,compliant,no,not in place,non-hazardous,bulk carrier,16,387709,31,Medium
4,PortA,PortZ,0,1,5,23,0,19,1356,16,regular,congested areas,819,256332,non-compliant,yes,not in place,hazardous,container,12,340003,18,Low
5,PortB,PortX,0,1,0,73,0,16,1126,14,irregular,congested areas,947,431660,compliant,no,not in place,hazardous,container,4,190436,40,Medium
6,PortC,PortX,1,1,6,52,2,17,1483,14,regular,clear,786,426429,compliant,no,not in place,hazardous,bulk carrier,11,273958,39,Medium
7,PortB,PortZ,1,1,5,67,1,23,1475,15,regular,clear,888,295024,non-compliant,no,in place,hazardous,container,8,337326,23,Low
8,PortA,PortY,1,3,2,50,2,22,1802,15,irregular,clear,627,302641,compliant,yes,in place,non-hazardous,container,12,278493,24,Low
9,PortC,PortY,0,0,4,90,2,16,1626,10,regular,congested areas,978,327549,non-compliant,no,not in place,non-hazardous,bulk carrier,12,289009,27,Low
10,PortA,PortY,0,4,6,77,2,20,1295,14,irregular,clear,779,195153,compliant,no,in place,non-hazardous,container,5,507538,10,Low
11,PortA,PortZ,0,1,0,48,2,23,1870,13,regular,congested areas,852,394521,non-compliant,yes,in place,hazardous,container,10,352879,36,Medium
12,PortB,PortZ,0,4,5,10,0,13,1744,15,regular,congested areas,725,346263,non-compliant,yes,in place,hazardous,container,14,361821,29,Low
13,PortB,PortY,0,4,5,50,2,22,1616,20,regular,congested areas,776,441743,compliant,yes,in place,hazardous,container,15,282580,41,Medium
14,PortB,PortY,1,3,2,54,1,17,1454,15,regular,congested areas,636,285514,compliant,no,in place,hazardous,container,10,467754,22,Low
15,PortC,PortZ,1,1,3,97,0,22,1308,14,irregular,congested areas,698,316907,compliant,yes,in place,hazardous,bulk carrier,14,328742,26,Low
16,PortC,PortY,0,4,4,97,1,16,1425,16,irregular,congested areas,697,244373,compliant,no,not in place,hazardous,container,13,297913,17,Low
17,PortB,PortX,0,1,3,88,1,12,1717,15,regular,congested areas,726,279253,non-compliant,yes,not in place,non-hazardous,container,11,191924,21,Low
18,PortC,PortZ,0,2,0,90,1,13,1876,15,regular,clear,767,272635,non-compliant,no,in place,hazardous,container,14,343889,20,Low
19,PortC,PortY,0,2,4,22,1,20,1808,16,irregular,clear,679,444417,non-compliant,yes,in place,hazardous,bulk carrier,7,294794,42,Medium
20,PortB,PortX,0,2,2,80,0,21,1402,19,regular,clear,893,320061,non-compliant,yes,in place,hazardous,bulk carrier,12,518457,26,Low
21,PortA,PortZ,1,4,0,18,0,16,1276,12,irregular,congested areas,932,386653,non-compliant,yes,not in place,non-hazardous,bulk carrier,3,534389,34,Medium
22,PortC,PortZ,1,2,4,72,1,22,1528,15,regular,congested areas,725,330862,non-compliant,no,not in place,non-hazardous,container,11,226471,27,Low
23,PortC,PortX,1,3,4,32,1,13,1146,13,regular,clear,942,260332,non-compliant,yes,not in place,hazardous,container,19,237784,19,Low
24,PortA,PortZ,0,3,3,63,0,19,1564,16,irregular,congested areas,909,352654,compliant,no,not in place,non-hazardous,container,10,322368,30,Medium
25,PortA,PortY,0,4,0,56,0,15,1470,13,regular,congested areas,749,411348,compliant,yes,not in place,non-hazardous,container,18,268396,37,Medium
26,PortA,PortZ,1,1,2,48,0,17,1406,14,irregular,congested areas,615,271966,compliant,yes,not in place,non-hazardous,container,10,371741,20,Low
27,PortB,PortY,1,0,2,96,2,20,1181,14,irregular,congested areas,627,430595,compliant,yes,in place,hazardous,bulk carrier,6,317337,40,Medium
28,PortA,PortX,0,1,0,35,2,16,1602,16,irregular,congested areas,772,300924,compliant,no,not in place,non-hazardous,container,15,378053,24,Low
29,PortB,PortX,1,1,0,10,2,18,1393,16,irregular,congested areas,645,333941,compliant,no,not in place,non-hazardous,container,14,451609,28,Low
30,PortA,PortZ,1,1,5,23,1,24,1266,12,irregular,congested areas,927,404633,compliant,no,not in place,non-hazardous,bulk carrier,23,243577,37,Medium
31,PortA,PortX,0,1,1,83,2,17,925,15,irregular,congested areas,835,319401,compliant,yes,in place,hazardous,bulk carrier,7,449521,26,Low
32,PortB,PortX,1,0,3,74,1,23,1494,13,regular,congested areas,813,366862,non-compliant,no,not in place,non-hazardous,bulk carrier,13,277134,32,Medium
33,PortB,PortZ,1,2,0,78,1,15,1854,12,irregular,congested areas,684,353067,compliant,no,in place,hazardous,bulk carrier,13,564848,30,Medium
34,PortA,PortY,1,1,0,76,2,22,1832,14,irregular,congested areas,881,385954,compliant,yes,in place,non-hazardous,bulk carrier,17,512097,34,Medium
35,PortA,PortZ,0,3,1,58,1,25,1408,14,regular,congested areas,831,176475,compliant,yes,not in place,hazardous,container,14,338691,8,Low
36,PortA,PortZ,1,4,1,59,2,10,1379,19,irregular,clear,684,216307,non-compliant,no,not in place,hazardous,container,10,253641,13,Low
37,PortC,PortY,1,4,4,67,2,16,1593,15,regular,congested areas,664,411003,compliant,no,not in place,hazardous,container,6,234513,37,Medium
38,PortA,PortY,1,3,6,62,0,22,1300,12,irregular,congested areas,733,454842,non-compliant,yes,in place,hazardous,container,13,437362,43,Medium
39,PortB,PortY,0,1,2,66,2,19,1560,13,irregular,clear,750,294509,non-compliant,no,not in place,hazardous,container,13,346959,23,Low
40,PortC,PortZ,0,0,3,95,0,21,1653,17,irregular,clear,714,352612,compliant,yes,in place,non-hazardous,bulk carrier,15,442686,30,Medium
41,PortB,PortY,1,2,4,27,2,17,1745,19,regular,clear,663,402098,non-compliant,yes,in place,non-hazardous,container,10,570422,36,Medium
42,PortC,PortX,0,4,0,25,2,20,1479,11,regular,congested areas,942,419105,compliant,no,not in place,non-hazardous,container,13,272961,38,Medium
43,PortC,PortY,1,2,1,11,0,19,1459,11,irregular,congested areas,962,199135,compliant,no,not in place,hazardous,bulk carrier,4,226986,11,Low
44,PortB,PortX,0,0,5,22,0,24,1324,18,irregular,clear,951,297579,compliant,yes,not in place,hazardous,bulk carrier,6,369256,23,Low
45,PortC,PortY,0,4,2,54,2,21,1334,15,regular,clear,757,346617,non-compliant,no,in place,hazardous,container,16,464475,29,Low
46,PortB,PortX,1,2,4,89,1,21,1454,13,regular,clear,676,419048,compliant,yes,not in place,non-hazardous,container,12,255953,38,Medium
47,PortA,PortX,1,0,5,81,0,18,1573,16,regular,congested areas,745,567547,compliant,no,in place,hazardous,bulk carrier,14,353462,57,Medium
48,PortC,PortX,1,2,2,52,1,18,1682,9,irregular,congested areas,942,356109,compliant,yes,not in place,hazardous,container,9,487004,31,Medium
49,PortB,PortX,0,1,6,81,1,18,1339,15,regular,clear,824,246777,non-compliant,no,in place,hazardous,bulk carrier,8,186712,17,Low
50,PortC,PortX,1,0,6,63,1,21,1798,15,regular,congested areas,912,400858,non-compliant,no,not in place,hazardous,container,9,373531,36,Medium
51,PortB,PortY,0,2,5,83,0,18,1445,16,regular,congested areas,702,470479,non-compliant,yes,not in place,non-hazardous,bulk carrier,13,295989,45,Medium
52,PortA,PortZ,0,1,1,40,1,21,1495,12,regular,clear,946,376761,non-compliant,no,in place,hazardous,bulk carrier,15,362415,33,Medium
53,PortA,PortZ,1,1,4,85,0,28,1350,15,regular,clear,900,298517,compliant,yes,in place,hazardous,bulk carrier,10,420978,23,Low
54,PortC,PortZ,0,0,4,18,1,23,1015,13,regular,clear,687,445243,compliant,no,not in place,hazardous,container,3,372080,41,Medium
55,PortC,PortZ,1,3,6,82,2,18,1676,15,regular,congested areas,970,415532,non-compliant,no,in place,hazardous,bulk carrier,14,248977,38,Medium
56,PortB,PortZ,0,4,2,57,2,24,1647,13,irregular,congested areas,902,282907,compliant,no,in place,non-hazardous,bulk carrier,13,299875,22,Low
57,PortB,PortX,1,0,5,27,0,18,1443,14,regular,congested areas,767,405147,non-compliant,no,in place,hazardous,container,14,492659,37,Medium
58,PortC,PortY,0,1,1,96,2,11,1513,13,irregular,congested areas,769,448925,compliant,yes,in place,non-hazardous,container,16,382893,42,Medium
59,PortB,PortX,0,1,0,20,2,15,1603,16,irregular,congested areas,734,466252,compliant,yes,not in place,non-hazardous,container,15,434031,44,Medium
60,PortB,PortY,1,0,4,71,1,12,1187,16,regular,clear,649,363435,non-compliant,no,in place,hazardous,bulk carrier,18,375029,31,Medium
61,PortB,PortY,0,3,0,93,0,18,1394,14,irregular,congested areas,939,342899,non-compliant,yes,not in place,hazardous,bulk carrier,12,430911,29,Low
62,PortC,PortY,1,4,1,28,1,20,1658,15,irregular,congested areas,946,463701,compliant,yes,not in place,non-hazardous,bulk carrier,9,310385,44,Medium
63,PortA,PortY,0,2,6,99,1,26,1249,12,regular,clear,733,266849,non-compliant,no,not in place,hazardous,container,17,273248,19,Low
64,PortA,PortZ,0,0,4,83,1,21,1558,14,irregular,clear,946,406404,compliant,yes,in place,hazardous,container,16,426369,37,Medium
65,PortB,PortY,0,4,4,33,1,19,1228,14,regular,clear,736,263534,compliant,yes,not in place,non-hazardous,bulk carrier,10,462737,19,Low
66,PortC,PortY,1,4,5,22,1,23,1593,20,regular,clear,844,448158,compliant,no,not in place,non-hazardous,container,17,258571,42,Medium
67,PortB,PortZ,1,1,0,55,1,11,1492,12,regular,congested areas,708,343976,compliant,no,not in place,non-hazardous,container,12,292405,29,Low
68,PortA,PortX,1,2,6,62,1,20,1176,17,regular,congested areas,912,468170,non-compliant,no,not in place,non-hazardous,bulk carrier,18,333677,44,Medium
69,PortB,PortX,1,0,5,38,0,23,1732,16,regular,clear,886,414912,compliant,no,not in place,non-hazardous,bulk carrier,20,511982,38,Medium
70,PortA,PortX,1,1,3,45,2,14,1353,15,regular,congested areas,620,272458,compliant,yes,in place,non-hazardous,container,25,406313,20,Low
71,PortC,PortX,0,1,0,80,1,24,1337,18,regular,clear,689,474849,compliant,no,not in place,hazardous,bulk carrier,12,217591,45,Medium
72,PortB,PortY,0,3,0,26,1,21,1540,15,irregular,congested areas,895,491134,non-compliant,yes,in place,hazardous,container,19,340701,47,Medium
73,PortC,PortZ,1,4,3,57,1,18,1729,15,regular,congested areas,711,436853,compliant,yes,not in place,hazardous,container,16,325412,41,Medium
74,PortB,PortZ,0,0,1,86,1,22,1296,14,irregular,congested areas,900,300706,non-compliant,no,not in place,hazardous,bulk carrier,16,232673,24,Low
