RouteID,POL_Code,POD_Code,Distance,Average_Transit_Days,Number_Of_Travels,Total_Incidents_Count,Carbon_Emissions,Cargo_Value,Route_Duration,Incident_Date,Average_Vessel_Age,Crew_Experience_Level,Days_Since_Incident,Recent_Incidents,Total_Recent_Incidents,Previous_Safety_Awards_no,Previous_Safety_Awards_yes,Training_Programs_irregular,Training_Programs_regular,Incident_Severity_critical,Incident_Severity_major,Incident_Severity_minor,Cargo_Type_hazardous,Cargo_Type_non-hazardous,Navigational_Risks_clear,Navigational_Risks_congested areas,Navigational_Risks_shallow waters,Regulatory_Compliance_compliant,Regulatory_Compliance_non-compliant,Ship_Maintenance_Records_overdue,Ship_Maintenance_Records_up-to-date,Insurance_Coverage_full,Insurance_Coverage_none,Insurance_Coverage_partial,Ship_Type_bulk carrier,Ship_Type_container,Emergency_Response_Plans_in place,Emergency_Response_Plans_not in place,RiskScore,RiskScore_Category
1,POL1,POD2,0.6855444271053212,0.32493296421563045,0.9791666666666666,0.3571428571428571,0.6162759872922332,0.640034544740077,0.4822613282022459,2024-05-15 13:54:32.478650,0.41737528713904193,0.5289662608192688,90,0,0.0,True,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,0.7231182857421591,High Risk
2,POL2,POD2,0.1758581643962277,0.3734131220953002,0.6666666666666666,0.2857142857142857,0.7374486963831122,0.04943250734541116,0.5637980058737401,2024-04-09 13:54:32.478650,0.32627900919905484,0.5679990741083272,126,0,0.0,False,True,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,0.5579697221984549,Medium Risk
3,POL1,POD2,0.7509478628049787,0.41653226240239805,0.6666666666666666,0.42857142857142855,0.6090179599304189,0.7710209260054235,0.652974656002024,2024-02-05 13:54:32.478650,0.5152921414958058,0.4911901517111832,190,0,0.0,False,True,True,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,0.7369832193625518,High Risk
4,POL2,POD2,0.4137829723466879,0.26391838767980713,0.6249999999999999,0.2857142857142857,0.5489885923293985,0.4587770364375539,0.3696348228477724,2023-10-22 13:54:32.478650,0.5027877169603131,0.6277683473464251,296,0,0.0,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,0.5923527807238937,Medium Risk
5,POL2,POD1,0.6248540913350203,0.5815423798737882,0.18749999999999997,0.42857142857142855,0.7972231277328574,0.8528125498257149,0.45390199067663994,2023-10-01 13:54:32.478650,0.6052922714936972,0.5029001135620539,317,0,0.0,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,0.8297200815984812,High Risk
6,POL3,POD2,0.4649593335421959,0.42728390664615623,0.5624999999999999,0.6428571428571428,0.5264792818531296,0.4832853494449127,0.4223926590930631,2024-02-01 13:54:32.478650,0.5996305463857458,0.41000744526324406,194,0,0.0,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,0.639333159164748,Medium Risk
7,POL1,POD1,0.516254185161312,0.4599469002241423,0.5833333333333333,0.07142857142857142,0.4765575592620756,0.5884625769532505,0.4301963254771105,2023-10-05 13:54:32.478650,0.6181431879551268,0.7029662266269134,313,0,0.0,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,True,0.2955484293928289,Low Risk
8,POL3,POD1,0.5360064134257887,0.6089813869944778,0.8958333333333333,0.42857142857142855,0.4958061615786396,0.6647775769245077,0.3994668432241001,2024-08-02 13:54:32.478650,0.31557154804917303,0.59593593001837,11,0,0.0,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,True,False,True,0.7652919700694036,High Risk
9,POL1,POD3,0.5580327457101049,0.49788985097940985,0.4791666666666667,0.3571428571428571,0.443799593250156,0.43170085500542005,0.23813683720962664,2024-07-18 13:54:32.478650,0.5496183108028355,0.4698567416977547,26,0,0.0,False,True,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,True,0.6917689367466853,High Risk
10,POL1,POD3,0.5638524783652346,0.39329199608113496,0.5833333333333333,0.21428571428571427,0.3499419255072311,0.09862917216916012,0.4742889066033503,2023-10-18 13:54:32.478650,0.4311626642108399,0.7950772144922175,300,0,0.0,False,True,True,False,True,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,True,False,True,0.39715829632411315,Medium Risk
11,POL1,POD2,0.7326588236117767,0.44129338742522795,0.04166666666666667,0.21428571428571427,0.710580902815741,0.5954669279371991,0.4789353326646415,2024-06-21 13:54:32.478650,0.4115545116424479,0.728878167014836,53,0,0.0,False,True,True,False,True,False,False,False,True,True,False,False,True,False,False,True,True,False,False,False,True,False,True,0.27286885473892764,Low Risk
12,POL3,POD3,0.539877959064789,0.39311838666241894,0.4166666666666667,0.6428571428571428,0.5180905352559113,0.48711321607620955,0.45356007435429935,2024-03-17 13:54:32.478650,0.5663446169434045,0.534197182727342,149,0,0.0,True,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,True,False,True,0.613873235033404,Medium Risk
13,POL2,POD1,0.6889422820593584,0.657193888723607,0.4583333333333333,0.42857142857142855,0.8449666852818358,0.6415549770570155,0.5906571930385532,2024-01-26 13:54:32.478650,0.2963125365949273,0.5878094676324441,200,0,0.0,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True,True,False,True,False,0.6596799887412957,Medium Risk
14,POL3,POD2,0.421104485268585,0.23949786809434026,0.6666666666666666,0.3571428571428571,0.736584779511483,0.4716915591922785,0.5465982043730179,2023-10-06 13:54:32.478650,0.2522377009096956,0.0662429773769487,312,0,0.0,False,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False,True,False,False,False,True,True,False,0.30950479018391464,Low Risk
15,POL3,POD2,0.5549031185475998,0.12250447517327284,0.14583333333333331,0.3571428571428571,0.8132251595754472,0.5330280775378824,0.14674570169000045,2024-03-14 13:54:32.478650,0.48057014001994347,0.6159732046068362,152,0,0.0,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,0.3807339341562521,Medium Risk
16,POL1,POD2,0.5212082653229896,0.5574486863304853,0.4375,0.2857142857142857,0.34753243696613184,0.558492506722075,0.2800756896744059,2024-04-13 13:54:32.478650,0.5408328488738953,0.5646984554794044,122,0,0.0,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,0.5908478258273141,Medium Risk
17,POL2,POD2,0.5973153438168916,0.440179092340397,0.4166666666666667,0.14285714285714285,0.8316633687789747,0.4345366328238573,0.6022214236146262,2024-06-27 13:54:32.478650,0.5699849784789206,0.6147751495808459,47,0,0.0,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,0.4949387267048517,Medium Risk
18,POL2,POD3,0.44765539350612593,0.48798671989811215,0.3958333333333333,0.2857142857142857,0.2731905270704405,0.2557101354916807,0.36713307648559923,2023-10-11 13:54:32.478650,0.4398006596222582,0.5753452140305229,307,0,0.0,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,0.4017035665822823,Medium Risk
19,POL2,POD2,0.1523841461334552,0.8106675564971407,0.5208333333333333,0.42857142857142855,0.19742520514616918,0.26603885717261305,0.48147389251607275,2023-09-11 13:54:32.478650,0.5529844712819942,0.7258569514704313,337,0,0.0,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,0.5480864678054655,Medium Risk
20,POL2,POD1,0.14751838183259824,0.4029496183632548,0.9791666666666666,0.3571428571428571,0.5988134471296855,0.6307932913062826,0.3910677312571319,2024-02-11 13:54:32.478650,0.5178958692949589,0.5977664995634054,184,0,0.0,False,True,True,False,False,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,False,True,False,0.6564930429317174,Medium Risk
21,POL1,POD2,0.09208014332598691,0.7390107429496914,0.7708333333333333,0.21428571428571427,0.403538098710512,0.4830949259096649,0.6400431387573928,2024-08-01 13:54:32.478650,0.295522674177243,0.5082193048352477,12,0,0.0,False,True,True,False,False,True,False,True,False,False,False,True,True,False,True,False,False,False,True,False,True,False,True,0.6277730091202884,Medium Risk
22,POL2,POD3,0.8393898515147652,0.5562317655066249,0.49999999999999994,0.42857142857142855,0.5589421746284289,0.2757650795994831,0.46361163228991986,2024-03-22 13:54:32.478650,0.481390429020606,0.37018041203195273,144,0,0.0,True,False,True,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,True,False,0.4350402937297435,Medium Risk
23,POL1,POD1,0.5206553320162973,0.4803484993783288,0.3958333333333333,0.14285714285714285,0.7006166919712833,0.7914048032280305,0.45369256825042203,2024-03-18 13:54:32.478650,0.6561051176608345,0.48135627967859296,148,0,0.0,True,False,False,True,False,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,True,True,False,0.5354798094418572,Medium Risk
24,POL1,POD3,0.7681952492368987,0.547502016500468,0.8749999999999999,0.2857142857142857,0.5163489795646563,0.6956752378146667,0.19613568697663775,2023-10-24 13:54:32.478650,0.6801796749463311,0.4719548393951317,294,0,0.0,True,False,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,0.6378580387282513,Medium Risk
