RouteID,POL,POD,High_Incidents,Medium_Incidents,Low_Incidents,No_Of_Transhipments,Average_Transit_Days,Distance,Crew_Experience_Level,Training_Programs,Navigational_Risks,Carbon_Emissions,Operational_Cost,Insurance_Premium,Total_Revenue,Regulatory_Compliance,Previous_Safety_Awards,Emergency_Response_Plans,Cargo_Type,Ship_Type,Average_Vessel_Age,RiskScore,Scaled_RiskScore,Risk_Category
0,PortC,PortZ,3,4,3,2,36.063041187102286,1774.8916914374568,10.619675186399846,irregular,clear,7291.764636884759,473665.1926376673,54588.97820198274,756066.5556945114,non-compliant,yes,in place,non-hazardous,container,6.359132839574952,40167.91799739622,56.20846191324329,High
1,PortA,PortZ,7,7,2,3,38.67415945613614,1626.1207958196708,11.322205555362347,irregular,shallow waters,6147.0613596098465,521606.6033569324,63119.42622932056,748304.388934918,compliant,yes,in place,hazardous,container,13.989946512321298,46531.010566710735,64.73702354551979,High
2,PortC,PortZ,6,8,33,3,35.82516052419729,1433.7404290975624,9.198169612911746,regular,clear,10632.485715723173,505380.0436675291,36769.48474833364,1074390.467742081,compliant,no,not in place,hazardous,container,9.579853315454306,33677.35673352927,47.50905181289344,Medium
3,PortC,PortZ,4,14,48,5,23.772030441927225,1821.0747444220046,11.631530329979986,regular,shallow waters,11134.090650970467,546090.8997692021,73202.1822026748,937425.2666762563,compliant,no,in place,hazardous,container,21.468040172143454,45601.7777618883,63.49155694884021,High
4,PortA,PortX,6,14,22,6,20.14999772290563,2585.255540710379,8.906027833089123,regular,congested areas,13422.281291098026,474771.9975949319,47163.15814759647,1108815.982219049,compliant,yes,in place,hazardous,container,9.514435214137887,30593.758498661104,43.37605244053238,Medium
5,PortA,PortZ,2,15,22,0,33.54359336758966,2081.33211046911,8.649824842079019,regular,clear,11536.862139980847,478309.30052593636,32396.565315586085,941010.0393505199,compliant,no,in place,non-hazardous,bulk carrier,12.091985335697997,34442.08722505526,48.53403314987925,Medium
6,PortC,PortY,1,13,44,0,26.19905275518957,2281.8738237065536,6.9459178783590865,regular,clear,13839.120171939288,675185.9974302021,71957.83166975652,1077027.4565609966,non-compliant,yes,in place,non-hazardous,container,15.114569548495961,57464.980599848255,79.39201029878079,Critical
7,PortB,PortY,5,7,4,6,31.43566677061493,1729.9837302007252,8.993075312197883,irregular,clear,10711.108370671956,620535.7571260877,36898.97738460663,1273226.647789347,non-compliant,no,in place,hazardous,container,14.45650371071996,41625.5021403421,58.16208683099017,High
8,PortC,PortZ,1,17,30,6,37.67574360003774,1527.9650719693345,8.368994596259558,irregular,shallow waters,7727.459522641285,540830.0481904565,46021.04286482787,756490.6416488008,compliant,yes,in place,hazardous,bulk carrier,18.950962551112013,47606.52375026345,66.17855223182073,High
9,PortC,PortZ,2,9,40,6,26.71522411800795,1633.6767607735796,9.19825208749005,regular,congested areas,11644.374112343248,591667.0475677227,47942.47759560334,1236957.4027632254,compliant,no,not in place,non-hazardous,bulk carrier,15.337418047161258,40243.37014419471,56.30959171408286,High
