RouteID,POL_Code,POD_Code,Distance,Average_Transit_Days,Number_Of_Travels,Total_Incidents_Count,Carbon_Emissions,Cargo_Value,Route_Duration,Incident_Date,Average_Vessel_Age,Crew_Experience_Level,Days_Since_Incident,Recent_Incidents,Total_Recent_Incidents,Previous_Safety_Awards,Training_Programs,Cargo_Type,Navigational_Risks_clear,Regulatory_Compliance_compliant,Ship_Maintenance_Records_overdue,Insurance_Coverage_full,Ship_Type_bulk carrier,Emergency_Response_Plans_in place,RiskScore,RiskScore_Category
1,POL1,POD2,989,9,27,4,92.07057651236971,1566984.5950769081,20,34:35.9,13.88098474454727,8.907887193058736,71,0,1,FALSE,Regular,Non-Hazardous,Congested Areas,Compliant,Overdue,None,Bulk Carrier,FALSE,0.5381211749420644,Medium Risk
2,POL2,POD2,641,17,13,2,113.04058622148742,1689670.6597302838,33,34:35.9,3.7867004538920828,12.886834396662636,218,0,0,TRUE,Regular,Non-Hazardous,Clear,Compliant,Up-To-Date,None,Bulk Carrier,TRUE,0.6014488750409815,Medium Risk
3,POL1,POD2,780,13,16,9,110.20425034420492,1766207.2735890741,16,34:35.9,16.313237416051894,4.765837565465758,1,1,1,TRUE,Regular,Hazardous,Clear,Compliant,Overdue,Full,Bulk Carrier,TRUE,0.6409609718958228,Medium Risk
4,POL2,POD2,992,10,20,5,88.25195804068159,1621701.8213518823,14,34:35.9,14.438635053257295,8.340280342,199,0,0,FALSE,Irregular,Non-Hazardous,Shallow Waters,Non-Compliant,Overdue,None,Container,TRUE,0.5663586212167706,Medium Risk
5,POL2,POD1,542,7,19,5,89.05014043275682,1225655.9501945102,30,34:35.9,19.035037063567387,13.65970388,165,0,0,TRUE,Regular,Non-Hazardous,Clear,Non-Compliant,Overdue,Full,Container,FALSE,0.3619391138872922,Medium Risk
6,POL3,POD2,473,17,43,4,106.30101234532847,1942545.6189902911,26,34:35.9,15.932703088900187,8.581533648228607,292,0,0,TRUE,Irregular,Hazardous,Congested Areas,Non-Compliant,Overdue,Partial,Container,TRUE,0.7319884303318129,High Risk
7,POL1,POD1,674,16,3,3,119.57838676648362,1413402.0029253943,23,34:35.9,11.549855808359258,16.440125356861827,138,0,0,FALSE,Regular,Non-Hazardous,Shallow Waters,Compliant,Overdue,None,Bulk Carrier,TRUE,0.4588536026328703,Medium Risk
8,POL3,POD1,848,16,17,5,100.0891693,1569859.476611875,27,34:35.9,11.587859025259894,9.763647834,258,0,0,TRUE,Regular,Hazardous,Congested Areas,Compliant,Up-To-Date,Full,Container,TRUE,0.5396072760434729,Medium Risk
9,POL1,POD3,973,16,12,4,71.34325763305722,1508042.5406705888,10,34:35.9,11.827736703152436,10.930754543373999,363,0,0,TRUE,Irregular,Non-Hazardous,Clear,Compliant,Overdue,Full,Bulk Carrier,FALSE,0.507682386,Medium Risk
10,POL1,POD3,425,10,36,3,92.16767108907841,1826799.2634431843,17,34:35.9,8.855972167210837,9.774092276098795,153,0,0,FALSE,Regular,Non-Hazardous,Clear,Non-Compliant,Overdue,Full,Container,TRUE,0.6722276363994573,High Risk
11,POL1,POD2,542,9,10,5,79.35530458830368,1740208.0974883907,24,34:35.9,10.146326076215766,12.455503014428787,300,0,0,FALSE,Irregular,Hazardous,Shallow Waters,Non-Compliant,Overdue,None,Container,FALSE,0.6275163137475175,Medium Risk
12,POL3,POD3,450,6,10,7,114.75070204244642,1526040.4992561135,11,34:35.9,10.335880949192635,6.948128476962152,222,0,0,FALSE,Regular,Hazardous,Clear,Compliant,Overdue,None,Bulk Carrier,FALSE,0.5169902583949371,Medium Risk
13,POL2,POD1,794,19,31,1,96.65101348643867,1340369.0953187328,12,34:35.9,5.517295565861664,8.028115004663492,71,0,0,TRUE,Irregular,Hazardous,Clear,Compliant,Overdue,Partial,Bulk Carrier,FALSE,0.4211565216892931,Medium Risk
14,POL3,POD2,978,17,23,7,116.82981787710911,1569130.3398291364,38,34:35.9,13.664656426276007,11.073108292332595,162,0,1,FALSE,Regular,Hazardous,Clear,Compliant,Up-To-Date,None,Bulk Carrier,FALSE,0.539246896,Medium Risk
15,POL3,POD2,774,17,43,6,138.75003501423924,1755771.4645820062,23,34:35.9,6.136010951460584,7.376640712689752,188,0,0,TRUE,Irregular,Hazardous,Congested Areas,Compliant,Up-To-Date,Full,Bulk Carrier,FALSE,0.6355999141129037,Medium Risk
16,POL1,POD2,741,5,21,3,97.56656409465094,1200144.0705088254,36,34:35.9,2.9095832140483964,6.379678722774215,9,1,1,FALSE,Irregular,Hazardous,Congested Areas,Non-Compliant,Overdue,None,Container,FALSE,0.34876837747810424,Medium Risk
17,POL2,POD2,339,7,42,9,110.4465470372979,1426755.0777494714,23,34:35.9,2.7656714999953156,8.104845898812775,13,0,1,TRUE,Irregular,Hazardous,Shallow Waters,Non-Compliant,Overdue,Partial,Bulk Carrier,FALSE,0.46575994134993004,Medium Risk
18,POL2,POD3,358,10,20,2,96.67999950646517,1375151.1817270538,26,34:35.9,7.592917629058659,9.701121914826633,37,0,0,TRUE,Irregular,Non-Hazardous,Congested Areas,Compliant,Up-To-Date,None,Bulk Carrier,FALSE,0.43910061117417676,Medium Risk
