Route,POL,POD,Total_Travel_Days,Leg_1_Travel_Days,Leg_1_Distance,Leg_2_Travel_Days,Leg_2_Distance,Leg_3_Travel_Days,Leg_3_Distance,No_Of_Travels,Vessel_Age,Vessel_Capacity,Port_Congestion_Level,Port_Security_Rating,Cargo_Value,Freight_Rates,Incident_Date,Recent_Incidents_10Days,Recent_Incidents_5Months,Older_Incidents,Risk_Score
Route 1,Tokyo,Los Angeles,34,3,2389,10,4600,12,4160,45,2,2733,4,3,70685,262,2023-01-01,1,21,63,7678.919960418752
Route 2,Mumbai,Los Angeles,41,9,1980,10,4957,8,4662,64,10,2590,5,2,131273,361,2023-01-08,1,21,63,13731.250124856553
Route 3,Hong Kong,Los Angeles,27,5,1791,5,5807,10,2960,50,9,3477,5,3,19759,355,2023-01-15,1,21,63,2749.9576977895863
Route 4,Mumbai,Los Angeles,23,8,987,14,4506,8,5687,13,12,2401,3,3,108470,279,2023-01-22,1,21,63,11379.590037400303
Route 5,Mumbai,New York,29,3,1464,8,2943,9,4245,9,10,2553,5,2,119016,174,2023-01-29,1,21,63,12451.693735907353
Route 6,Singapore,New York,42,8,2955,11,3743,2,4726,38,9,2447,4,2,176756,330,2023-02-05,1,21,63,18233.69281332603
Route 7,Hong Kong,Hamburg,25,4,1359,5,4307,9,3371,71,14,2254,4,2,165509,355,2023-02-12,1,21,63,17093.41333023974
Route 8,Hong Kong,Rotterdam,38,8,2094,6,6068,12,5286,65,4,3073,5,2,143229,372,2023-02-19,1,21,63,15023.788042009013
Route 9,Hong Kong,Los Angeles,38,7,2503,14,2602,8,3742,68,12,3580,2,5,-8133,334,2023-02-26,1,21,63,0.0
Route 10,Mumbai,Hamburg,27,5,1372,8,5202,10,4277,30,3,2907,5,2,146052,272,2023-03-05,1,21,63,15245.021409102557
Route 11,Tokyo,Rotterdam,32,6,2092,14,4179,7,3066,82,6,2247,5,4,135275,399,2023-03-12,1,21,63,14074.298285059342
Route 12,Hong Kong,Antwerp,38,8,2468,9,4837,11,3003,30,5,3419,5,2,112797,306,2023-03-19,1,21,63,12030.941350749727
Route 13,Mumbai,New York,28,7,2006,4,3898,9,4688,54,13,3842,4,1,13488,253,2023-03-26,1,21,63,2188.627252755429
Route 14,Singapore,Rotterdam,28,8,3434,12,3157,7,3556,49,9,2676,7,3,61161,281,2023-04-02,1,21,63,6724.380249573786
Route 15,Tokyo,Antwerp,27,10,1165,8,4750,13,3146,46,9,2760,4,3,41658,125,2023-04-09,1,21,63,4772.384205966405
Route 16,Singapore,Rotterdam,24,3,2529,12,4654,12,3356,76,5,3257,5,3,-750,281,2023-04-16,1,21,63,660.6460220585957
Route 17,Tokyo,New York,26,10,1913,10,4972,8,4698,35,8,3810,7,4,99854,368,2023-04-23,1,21,63,10821.371308102705
Route 18,Mumbai,New York,23,7,2385,5,3986,11,3370,23,6,2740,4,5,60108,333,2023-04-30,1,21,63,6619.195830870449
Route 19,Shanghai,Hamburg,30,5,2220,10,3400,11,3882,50,11,2333,5,3,231265,452,2023-05-07,1,21,63,23682.735058095124
Route 20,Tokyo,Los Angeles,26,4,1633,16,2441,11,4015,42,6,3315,4,2,91561,273,2023-05-14,1,21,63,9881.3502773923
Route 21,Singapore,Rotterdam,31,6,2114,11,4819,4,2082,117,15,3399,7,3,164687,348,2023-05-21,1,21,63,17261.751274327173
Route 22,Mumbai,Rotterdam,22,8,1071,9,4423,13,2528,63,3,3003,4,2,21545,379,2023-05-28,1,21,63,2838.748765086874
Route 23,Tokyo,Antwerp,31,6,2301,13,3034,8,4336,41,6,2720,7,3,73495,534,2023-06-04,1,21,63,7985.714940371698
Route 24,Shanghai,New York,34,10,2149,10,3461,8,3262,28,16,3497,4,1,104844,314,2023-06-11,1,21,63,11249.068252494679
Route 25,Shanghai,Rotterdam,20,4,2319,10,3533,17,5056,12,8,3264,3,5,54592,195,2023-06-18,1,21,63,6156.662291781531
Route 26,Hong Kong,New York,31,6,2529,6,2517,10,4966,29,4,2615,6,3,78889,384,2023-06-25,1,21,63,8482.174593145499
Route 27,Hong Kong,Rotterdam,36,4,2183,10,3182,8,4719,52,10,3024,4,1,89102,486,2023-07-02,1,21,63,9605.78634931643
Route 28,Singapore,Hamburg,23,7,2074,13,2866,3,5819,78,8,2324,6,2,88304,267,2023-07-09,1,21,63,9377.977993021297
Route 29,Tokyo,Los Angeles,38,8,1559,7,3587,14,3916,72,6,3342,0,3,192755,384,2023-07-16,1,21,63,20036.34079232251
Route 30,Tokyo,Rotterdam,32,6,1643,14,3261,5,4648,54,5,2868,5,4,118911,422,2023-07-23,1,21,63,12553.335713354589
Route 31,Hong Kong,New York,26,1,2593,9,2372,6,3415,43,21,2782,4,1,123975,401,2023-07-30,1,21,63,13033.906433802747
Route 32,Tokyo,Hamburg,29,7,2718,7,6022,9,6452,55,8,2983,2,3,126982,312,2023-08-06,1,21,63,13367.638144734976
Route 33,Tokyo,Rotterdam,32,7,1880,12,5252,14,5983,39,2,3020,3,1,130631,230,2023-08-13,1,21,63,13722.94622123359
Route 34,Shanghai,Antwerp,30,7,2023,9,3220,12,4011,84,15,3447,3,2,95855,291,2023-08-20,1,21,63,10367.190415164065
Route 35,Hong Kong,Los Angeles,32,9,1547,12,4272,9,4386,46,12,3295,4,4,83962,345,2023-08-27,1,21,63,9134.329768060368
Route 36,Mumbai,Rotterdam,25,4,2586,9,4417,10,5359,48,6,2921,2,2,108340,390,2023-09-03,1,21,63,11495.550576239197
Route 37,Hong Kong,Hamburg,30,8,2332,9,5191,8,3852,5,6,3381,5,1,157840,333,2023-09-10,1,21,63,16513.01461870747
Route 38,Mumbai,Antwerp,22,9,2970,11,3181,10,3343,46,12,3200,7,3,156311,262,2023-09-17,1,21,63,16343.36886266628
Route 39,Shanghai,Hamburg,29,3,1560,10,5092,10,4873,66,9,2786,5,2,87980,355,2023-09-24,1,21,63,9442.230622954481
Route 40,Singapore,Hamburg,25,7,1810,4,3452,12,4078,28,2,2937,6,3,138392,386,2023-10-01,1,21,63,14498.243006570468
Route 41,Tokyo,Antwerp,26,5,2115,6,2664,12,4182,34,17,2925,7,2,90270,337,2023-10-08,1,21,63,9685.197453140167
Route 42,Shanghai,Hamburg,36,6,2323,12,4724,11,3165,65,8,3252,7,2,101693,216,2023-10-15,1,21,63,10889.779602587547
Route 43,Tokyo,Antwerp,35,7,1892,9,5290,8,2282,20,15,2816,8,0,76323,281,2023-10-22,1,21,63,8252.520037153008
Route 44,Singapore,Rotterdam,33,6,1563,8,6587,12,4236,71,15,2804,4,3,90917,394,2023-10-29,1,21,63,9747.169508956584
Route 45,Singapore,Antwerp,24,5,2440,5,2800,9,4904,39,5,3984,3,2,167066,161,2023-11-05,1,21,63,17555.308266776046
Route 46,Shanghai,Antwerp,28,7,2360,6,4698,6,3774,42,14,3469,6,1,104621,90,2023-11-12,1,21,63,11206.732657906878
Route 47,Singapore,Los Angeles,36,4,1541,3,3590,8,5436,27,7,2619,6,3,106764,450,2023-11-19,1,21,63,11277.217369524553
Route 48,Mumbai,Antwerp,30,4,2677,9,4783,10,3296,57,2,3285,6,4,27639,351,2023-11-26,1,21,63,3495.2275981124435
Route 49,Singapore,Antwerp,41,8,2585,8,2529,12,2945,99,8,3059,8,2,84537,360,2023-12-03,1,21,63,9166.374319453815
Route 50,Tokyo,Rotterdam,31,4,2067,7,2737,9,3932,65,11,3195,5,3,87934,192,2023-12-10,1,21,63,9498.42523817005
Route 51,Tokyo,Los Angeles,30,8,2039,9,3224,6,3917,32,8,3068,5,3,58542,373,2023-12-17,1,21,63,6539.250730481312
Route 52,Tokyo,New York,28,7,2277,11,4078,10,4769,72,8,3594,3,1,101083,327,2023-12-24,1,21,63,10912.880975298936
Route 53,Tokyo,Rotterdam,30,3,1569,16,3358,10,3225,43,14,3172,9,5,78540,141,2023-12-31,1,21,63,8545.766449917222
Route 54,Mumbai,Rotterdam,29,5,2015,5,4659,10,5368,77,10,2968,4,2,103999,442,2024-01-07,1,21,63,11092.082143464573
Route 55,Hong Kong,New York,33,9,923,13,5026,12,5966,66,6,3521,4,3,106075,315,2024-01-14,1,21,63,11394.54828801024
Route 56,Shanghai,Antwerp,34,5,2438,12,4599,13,3960,-8,12,3116,4,3,52212,260,2024-01-21,1,21,63,5886.632524992938
Route 57,Tokyo,Hamburg,26,6,1219,7,5618,8,5249,29,10,3060,3,2,80064,262,2024-01-28,1,21,63,8674.18970186559
Route 58,Singapore,Los Angeles,23,7,2751,10,4415,8,2943,68,0,3157,3,3,103868,98,2024-02-04,1,21,63,11074.067923597102
Route 59,Tokyo,Hamburg,20,8,1834,8,2783,6,5075,53,11,2953,3,3,159214,359,2024-02-11,1,21,63,16592.69973662755
Route 60,Singapore,New York,32,6,1894,10,5363,12,5047,29,11,3004,2,1,112835,326,2024-02-18,1,21,63,11952.283564547228
Route 61,Singapore,Rotterdam,24,5,1686,14,3394,14,4863,37,10,2706,3,2,66903,280,2024-02-25,1,21,63,7298.999485484398
Route 62,Tokyo,Rotterdam,19,9,1855,11,4910,9,3984,11,13,2624,8,2,119950,427,2024-03-03,1,21,63,12588.626808720895
Route 63,Mumbai,Los Angeles,31,10,2709,11,5573,9,1045,48,7,2500,6,2,185377,161,2024-03-10,1,21,63,19093.64000665684
Route 64,Singapore,Rotterdam,42,8,756,8,4456,14,3358,94,11,2304,6,1,145835,240,2024-03-17,1,21,63,15135.173685318976
Route 65,Singapore,Rotterdam,29,7,2638,5,2503,11,3374,66,3,2560,7,4,127376,214,2024-03-24,1,21,63,13320.195151470381
Route 66,Tokyo,Los Angeles,34,5,2169,9,3081,11,3021,93,11,2912,8,4,136279,272,2024-03-31,1,21,63,14302.164985926654
Route 67,Singapore,Los Angeles,30,5,1396,13,5322,6,4122,67,17,3051,1,3,171997,306,2024-04-07,1,21,63,17889.412066336758
Route 68,Singapore,New York,29,8,1462,5,3830,12,3581,70,6,2864,2,4,153781,343,2024-04-14,1,21,63,16037.404764396695
Route 69,Tokyo,Rotterdam,34,7,2838,6,4079,7,3175,89,6,1822,3,2,128338,265,2024-04-21,1,21,63,13284.340265301726
Route 70,Tokyo,Rotterdam,28,9,1527,10,4758,6,2941,57,7,3787,4,2,153432,212,2024-04-28,1,21,63,16167.392860759057
Route 71,Shanghai,New York,31,8,1423,7,4696,8,3284,46,10,3543,4,2,45917,468,2024-05-05,1,21,63,5383.301284607525
Route 72,Mumbai,Antwerp,31,3,2568,7,4278,8,5121,70,5,3222,4,3,24886,541,2024-05-12,1,21,63,3239.139653345168
Route 73,Mumbai,Antwerp,26,9,2169,8,3791,9,3338,79,11,3953,5,3,107854,314,2024-05-19,1,21,63,11660.737757672057
Route 74,Singapore,Antwerp,34,5,1531,5,3687,5,3485,40,13,2511,5,2,103434,224,2024-05-26,1,21,63,10909.075880506538
Route 75,Mumbai,New York,29,6,2108,7,4857,12,3543,35,12,3943,3,4,72804,447,2024-06-02,1,21,63,8151.243782468271
Route 76,Singapore,Rotterdam,26,7,1487,12,4553,13,4338,52,2,2517,0,3,141292,155,2024-06-09,1,21,63,14688.542670457151
Route 77,Shanghai,New York,32,10,2550,6,3742,4,4456,66,13,3119,3,2,6856,266,2024-06-16,1,21,63,1388.6254397201642
Route 78,Tokyo,New York,25,13,2530,5,5082,12,955,65,13,2363,3,2,73261,230,2024-06-23,1,21,63,7870.743851474674
Route 79,Tokyo,Antwerp,30,8,2266,8,3870,7,5021,21,13,3007,4,3,75752,184,2024-06-30,1,21,63,8224.74475103123
Route 80,Tokyo,Hamburg,29,6,2180,12,3148,12,5436,88,11,3193,2,4,18184,271,2024-07-07,1,21,63,2548.189548076921
Route 81,Mumbai,Rotterdam,35,8,2880,9,3241,9,2949,37,10,2922,4,3,174736,213,2024-07-14,1,21,63,18109.811421501818
Route 82,Shanghai,Antwerp,32,8,1999,8,3021,10,3027,44,14,3356,2,4,32039,301,2024-07-21,1,21,63,3945.705551280645
