Incidents,RouteID,IncidentType,Severity,Location,IncidentDate,Description,ResponseTime,DamageCost,InsuranceClaim
INC001,R001,Piracy,Medium,,23-10-2022,,2 hours,1000000,Yes
INC002,R001,Accident,Medium,,26-01-2023,Offshore Oil Rig Mishaps,4 hours,500000,No
INC003,R001,Attacks,High,,15-06-2023,,1 hour,10000,No
INC004,R001,Delay,Medium,,25-10-2023,,1 hour,10000,No
INC005,R001,Piracy,High,,20-07-2023,,,,
INC006,R002,Accident,Low,,08-11-2023,Offshore Oil Rig Mishaps,,,
INC007,R002,Delay,Medium,,29-03-2023,,,,
INC008,R002,Natural Disaster,Medium,,09-03-2023,,,,
INC009,R002,Accident,High,,22-09-2022,Maritime Accidents on Diving Support Vessels:  ,,,
INC010,R002,Piracy,Medium,,08-02-2023,,,,
INC011,R002,Accident,Low,,17-03-2023,Maritime Accidents on Diving Support Vessels:  ,,,
INC012,R002,Attacks,High,,29-01-2024,,,,
INC013,R003,Port Security,Low,,02-02-2023,,,,
INC014,R003,Natural Disaster,High,,11-05-2023,,2 hours,1000000,Yes
INC015,R003,Theft,Low,,28-06-2022,Cargo theft,4 hours,500000,No
INC016,R003,Accident,High,,03-06-2023,Accidents on Crude Oil Tankers and Cargo Ships ,1 hour,10000,No
INC017,R003,Natural Disaster,High,,23-02-2024,,1 hour,10000,No
INC018,R003,Port Security,Medium,,25-07-2022,,,,
INC019,R003,Theft,High,,01-02-2024,Container theft,,,
INC020,R003,Piracy,High,,29-10-2022,,,,
INC021,R003,Piracy,Medium,,14-09-2023,,,,
INC022,R004,Accident,Medium,,05-04-2024,Minor collision                                ,,,
INC023,R004,Delay,Medium,,04-11-2022,,,,
INC024,R004,Attacks,High,,11-09-2022,,,,
INC025,R004,Piracy,Medium,,11-04-2023,,,,
INC026,R004,Attacks,High,,11-04-2023,,,,
INC027,R004,Delay,Low,,20-11-2022,,2 hours,1000000,Yes
INC028,R004,Delay,Medium,,04-12-2022,,4 hours,500000,No
INC029,R004,Accident,Low,,13-03-2024,Minor collision,1 hour,10000,No
INC030,R004,Natural Disaster,Medium,,06-01-2024,,1 hour,10000,No
INC031,R005,Theft,Medium,,14-01-2024,Cargo theft,,,
INC032,R005,Natural Disaster,Medium,,29-12-2023,,,,
INC033,R005,Delay,Medium,,13-10-2022,,,,
INC034,R005,Piracy,High,,21-04-2023,,,,
INC035,R005,Theft,Medium,,10-10-2022,Container theft,,,
INC036,R005,Accident,Medium,,15-07-2023,Maritime Accidents on Diving Support Vessels:  ,,,
INC037,R005,Natural Disaster,High,,15-06-2023,,,,
INC038,R006,Attacks,Medium,,14-12-2023,,,,
INC039,R006,Natural Disaster,Low,,29-06-2022,,,,
INC040,R007,Port Security,Medium,,29-03-2024,,,,
INC041,R007,Accident,Low,,09-04-2023,Offshore Oil Rig Mishaps                       ,,,
INC042,R007,Theft,High,,19-07-2022,Cargo theft,,,
INC043,R007,Theft,High,,13-05-2024,Cargo theft,,,
INC044,R007,Accident,Medium,,24-03-2024,Accidents on Tugboats                          ,,,
INC045,R008,Natural Disaster,High,,15-06-2024,,,,
INC046,R008,Attacks,Medium,,05-05-2023,,,,
INC047,R008,Delay,High,,22-01-2024,,,,
INC048,R008,Port Security,High,,26-10-2022,,,,
INC049,R008,Delay,Medium,,16-04-2023,,,,
INC050,R008,Accident,High,,30-03-2023,Offshore Oil Rig Mishaps,,,
INC051,R008,Port Security,Low,,19-05-2023,,,,
INC052,R009,Delay,Low,,20-08-2022,,,,
INC053,R009,Accident,High,,01-01-2023,Maritime Accidents on Diving Support Vessels:  ,,,
INC054,R009,Attacks,Medium,,31-08-2022,,,,
INC055,R009,Delay,Medium,,24-11-2022,,,,
INC056,R010,Theft,Medium,,13-09-2023,Cargo theft,,,
INC057,R010,Theft,Medium,,15-02-2024,Cargo theft,,,
INC058,R010,Attacks,Low,,27-09-2022,,,,
INC059,R010,Natural Disaster,Low,,13-12-2023,,,,
