RouteID,POL,POD,High_Incidents,Medium_Incidents,Low_Incidents,No_Of_Travels,No_Of_Transhipments,Average_Transit_Days,Distance,Crew_Experience_Level,Training_Programs,Navigational_Risks,Carbon_Emissions,Operational_Cost,Insurance_Premium,Total_Revenue,Regulatory_Compliance,Previous_Safety_Awards,Emergency_Response_Plans,Cargo_Type,Ship_Type,Average_Vessel_Age,Cargo_Value,RiskScore,Scaled_RiskScore,Risk_Category
0,PortC,PortX,0,1,0,21,2,20,1517,12,irregular,clear,750,407396,32674,1067291,compliant,no,not in place,hazardous,bulk carrier,9,339388,25960.025,35.50313012,Medium
1,PortC,PortX,0,1,6,80,0,16,1795,12,regular,clear,874,418250,40751,940188,compliant,no,not in place,non-hazardous,container,16,520465,26945.98,37.45887006,Medium
2,PortB,PortX,0,2,6,10,2,21,1271,15,regular,clear,937,227480,61212,947974,non-compliant,no,in place,non-hazardous,container,5,589076,15997.565,15.74159846,Low
3,PortC,PortY,1,1,6,42,2,19,1461,16,irregular,clear,675,359124,57714,783990,compliant,no,not in place,non-hazardous,bulk carrier,16,387709,23786.26,31.19125074,Medium
4,PortA,PortZ,0,1,5,23,0,19,1356,16,regular,congested areas,819,256332,34629,905045,non-compliant,yes,not in place,hazardous,container,12,340003,16927.635,17.58648494,Low
5,PortB,PortX,0,1,0,73,0,16,1126,14,irregular,congested areas,947,431660,38709,835480,compliant,no,not in place,hazardous,container,4,190436,27537.165,38.63154439,Medium
6,PortC,PortX,1,1,6,52,2,17,1483,14,regular,clear,786,426429,19994,1007518,compliant,no,not in place,hazardous,bulk carrier,11,273958,26719.735,37.01009057,Medium
7,PortB,PortZ,1,1,5,67,1,23,1475,15,regular,clear,888,295024,70342,801336,non-compliant,no,in place,hazardous,container,8,337326,20365.675,24.40617971,Low
8,PortA,PortY,1,3,2,50,2,22,1802,15,irregular,clear,627,302641,41494,1149469,compliant,yes,in place,non-hazardous,container,12,278493,19987.365,23.65576414,Low
9,PortC,PortY,0,0,4,90,2,16,1626,10,regular,congested areas,978,327549,34822,698662,non-compliant,no,not in place,non-hazardous,bulk carrier,12,289009,21305.34,26.27009882,Low
10,PortA,PortY,0,4,6,77,2,20,1295,14,irregular,clear,779,195153,56367,829022,compliant,no,in place,non-hazardous,container,5,507538,13887.495,11.55606446,Low
11,PortA,PortZ,0,1,0,48,2,23,1870,13,regular,congested areas,852,394521,38391,1201580,non-compliant,yes,in place,hazardous,container,10,352879,25468.365,34.52787354,Medium
12,PortB,PortZ,0,4,5,10,0,13,1744,15,regular,congested areas,725,346263,38344,884729,non-compliant,yes,in place,hazardous,container,14,361821,22512.275,28.6641746,Low
13,PortB,PortY,0,4,5,50,2,22,1616,20,regular,congested areas,776,441743,38628,752768,compliant,yes,in place,hazardous,container,15,282580,28230.67,40.00718063,Medium
14,PortB,PortY,1,3,2,54,1,17,1454,15,regular,congested areas,636,285514,34404,982860,compliant,no,in place,hazardous,container,10,467754,18660.245,21.02328944,Low
15,PortC,PortZ,1,1,3,97,0,22,1308,14,irregular,congested areas,698,316907,42960,878691,compliant,yes,in place,hazardous,bulk carrier,14,328742,20777.135,25.2223516,Low
16,PortC,PortY,0,4,4,97,1,16,1425,16,irregular,congested areas,697,244373,39796,824619,compliant,no,not in place,hazardous,container,13,297913,16358.625,16.45779693,Low
17,PortB,PortX,0,1,3,88,1,12,1717,15,regular,congested areas,726,279253,28822,785619,non-compliant,yes,not in place,non-hazardous,container,11,191924,18198.65,20.10766979,Low
18,PortC,PortZ,0,2,0,90,1,13,1876,15,regular,clear,767,272635,40742,1365256,non-compliant,no,in place,hazardous,container,14,343889,18207.335,20.12489735,Low
19,PortC,PortY,0,2,4,22,1,20,1808,16,irregular,clear,679,444417,40023,912267,non-compliant,yes,in place,hazardous,bulk carrier,7,294794,28460.355,40.4627837,Medium
20,PortB,PortX,0,2,2,80,0,21,1402,19,regular,clear,893,320061,31250,661164,non-compliant,yes,in place,hazardous,bulk carrier,12,518457,20676.645,25.02301967,Low
21,PortA,PortZ,1,4,0,18,0,16,1276,12,irregular,congested areas,932,386653,27559,1174056,non-compliant,yes,not in place,non-hazardous,bulk carrier,3,534389,24538.145,32.68268952,Medium
22,PortC,PortZ,1,2,4,72,1,22,1528,15,regular,congested areas,725,330862,29419,1041660,non-compliant,no,not in place,non-hazardous,container,11,226471,21269.33,26.1986694,Low
23,PortC,PortX,1,3,4,32,1,13,1146,13,regular,clear,942,260332,34621,835030,non-compliant,yes,not in place,hazardous,container,19,237784,17138.865,18.00548069,Low
24,PortA,PortZ,0,3,3,63,0,19,1564,16,irregular,congested areas,909,352654,30331,810032,compliant,no,not in place,non-hazardous,container,10,322368,22648.88,28.93514423,Low
25,PortA,PortY,0,4,0,56,0,15,1470,13,regular,congested areas,749,411348,25470,1051020,compliant,yes,not in place,non-hazardous,container,18,268396,25967.775,35.51850302,Medium
26,PortA,PortZ,1,1,2,48,0,17,1406,14,irregular,congested areas,615,271966,62529,912962,compliant,yes,not in place,non-hazardous,container,10,371741,18674.36,21.05128795,Low
27,PortB,PortY,1,0,2,96,2,20,1181,14,irregular,congested areas,627,430595,40933,661103,compliant,yes,in place,hazardous,bulk carrier,6,317337,27491.375,38.54071537,Medium
28,PortA,PortX,0,1,0,35,2,16,1602,16,irregular,congested areas,772,300924,38035,1218085,compliant,no,not in place,non-hazardous,container,15,378053,19757.385,23.19957591,Low
29,PortB,PortX,1,1,0,10,2,18,1393,16,irregular,congested areas,645,333941,33078,884901,compliant,no,not in place,non-hazardous,container,14,451609,21513.045,26.68210238,Low
30,PortA,PortZ,1,1,5,23,1,24,1266,12,irregular,congested areas,927,404633,30564,1174335,compliant,no,not in place,non-hazardous,bulk carrier,23,243577,25705.295,34.99784779,Medium
31,PortA,PortX,0,1,1,83,2,17,925,15,irregular,congested areas,835,319401,39965,1141765,compliant,yes,in place,hazardous,bulk carrier,7,449521,20767.29,25.20282306,Low
32,PortB,PortX,1,0,3,74,1,23,1494,13,regular,congested areas,813,366862,41356,799848,non-compliant,no,not in place,non-hazardous,bulk carrier,13,277134,23796.185,31.21093796,Medium
33,PortB,PortZ,1,2,0,78,1,15,1854,12,irregular,congested areas,684,353067,42241,1104978,compliant,no,in place,hazardous,bulk carrier,13,564848,23057.6,29.74588106,Low
34,PortA,PortY,1,1,0,76,2,22,1832,14,irregular,congested areas,881,385954,26729,852283,compliant,yes,in place,non-hazardous,bulk carrier,17,512097,24601.135,32.80763646,Medium
35,PortA,PortZ,0,3,1,58,1,25,1408,14,regular,congested areas,831,176475,67623,669994,compliant,yes,not in place,hazardous,container,14,338691,13143.665,10.08060357,Low
36,PortA,PortZ,1,4,1,59,2,10,1379,19,irregular,clear,684,216307,41728,886310,non-compliant,no,not in place,hazardous,container,10,253641,14717.435,13.20233311,Low
37,PortC,PortY,1,4,4,67,2,16,1593,15,regular,congested areas,664,411003,59025,1009645,compliant,no,not in place,hazardous,container,6,234513,26969.07,37.50467138,Medium
38,PortA,PortY,1,3,6,62,0,22,1300,12,irregular,congested areas,733,454842,18908,880589,non-compliant,yes,in place,hazardous,container,13,437362,28337.565,40.21921751,Medium
39,PortB,PortY,0,1,2,66,2,19,1560,13,irregular,clear,750,294509,35532,903942,non-compliant,no,not in place,hazardous,container,13,346959,19283.28,22.25914142,Low
40,PortC,PortZ,0,0,3,95,0,21,1653,17,irregular,clear,714,352612,59730,1121534,compliant,yes,in place,non-hazardous,bulk carrier,15,442686,23510.66,30.64457069,Medium
41,PortB,PortY,1,2,4,27,2,17,1745,19,regular,clear,663,402098,34878,965974,non-compliant,yes,in place,non-hazardous,container,10,570422,25747.465,35.08149619,Medium
42,PortC,PortX,0,4,0,25,2,20,1479,11,regular,congested areas,942,419105,32925,823505,compliant,no,not in place,non-hazardous,container,13,272961,26699.82,36.97058719,Medium
43,PortC,PortY,1,2,1,11,0,19,1459,11,irregular,congested areas,962,199135,36633,1055304,compliant,no,not in place,hazardous,bulk carrier,4,226986,13611.24,11.00808515,Low
44,PortB,PortX,0,0,5,22,0,24,1324,18,irregular,clear,951,297579,29222,979651,compliant,yes,not in place,hazardous,bulk carrier,6,369256,19259.595,22.21215986,Low
45,PortC,PortY,0,4,2,54,2,21,1334,15,regular,clear,757,346617,40977,571759,non-compliant,no,in place,hazardous,container,16,464475,22518.965,28.67744489,Low
46,PortB,PortX,1,2,4,89,1,21,1454,13,regular,clear,676,419048,31857,1014252,compliant,yes,not in place,non-hazardous,container,12,255953,26604.405,36.78132203,Medium
47,PortA,PortX,1,0,5,81,0,18,1573,16,regular,congested areas,745,567547,35418,1008774,compliant,no,in place,hazardous,bulk carrier,14,353462,35663.36,54.75066153,Medium
48,PortC,PortX,1,2,2,52,1,18,1682,9,irregular,congested areas,942,356109,46700,953018,compliant,yes,not in place,hazardous,container,9,487004,23383.345,30.39202871,Medium
49,PortB,PortX,0,1,6,81,1,18,1339,15,regular,clear,824,246777,43266,1083755,non-compliant,no,in place,hazardous,bulk carrier,8,186712,16609.98,16.95638461,Low
50,PortC,PortX,1,0,6,63,1,21,1798,15,regular,congested areas,912,400858,55110,849140,non-compliant,no,not in place,hazardous,container,9,373531,26343.905,36.26459433,Medium
51,PortB,PortY,0,2,5,83,0,18,1445,16,regular,congested areas,702,470479,60642,1000474,non-compliant,yes,not in place,non-hazardous,bulk carrier,13,295989,30555.72,44.61914888,Medium
52,PortA,PortZ,0,1,1,40,1,21,1495,12,regular,clear,946,376761,32009,714956,non-compliant,no,in place,hazardous,bulk carrier,15,362415,24135.385,31.88377495,Medium
53,PortA,PortZ,1,1,4,85,0,28,1350,15,regular,clear,900,298517,29516,1011063,compliant,yes,in place,hazardous,bulk carrier,10,420978,19322.32,22.33658115,Low
54,PortC,PortZ,0,0,4,18,1,23,1015,13,regular,clear,687,445243,28899,1242958,compliant,no,not in place,hazardous,container,3,372080,27979.465,39.50889049,Medium
55,PortC,PortZ,1,3,6,82,2,18,1676,15,regular,congested areas,970,415532,42004,800771,non-compliant,no,in place,hazardous,bulk carrier,14,248977,26812.52,37.19413886,Medium
56,PortB,PortZ,0,4,2,57,2,24,1647,13,irregular,congested areas,902,282907,31830,836029,compliant,no,in place,non-hazardous,bulk carrier,13,299875,18530.505,20.76593723,Low
57,PortB,PortX,1,0,5,27,0,18,1443,14,regular,congested areas,767,405147,38309,843497,non-compliant,no,in place,hazardous,container,14,492659,25978.19,35.53916221,Medium
58,PortC,PortY,0,1,1,96,2,11,1513,13,irregular,congested areas,769,448925,30199,969499,compliant,yes,in place,non-hazardous,container,16,382893,28377.9,40.299226,Medium
59,PortB,PortX,0,1,0,20,2,15,1603,16,irregular,congested areas,734,466252,62204,790544,compliant,yes,not in place,non-hazardous,container,15,434031,30394.36,44.29907525,Medium
60,PortB,PortY,1,0,4,71,1,12,1187,16,regular,clear,649,363435,12559,1013187,non-compliant,no,in place,hazardous,bulk carrier,18,375029,22613.69,28.86534136,Low
