RouteID,POL,POD,High_Incidents,Medium_Incidents,Low_Incidents,No_Of_Travels,No_Of_Transhipments,Average_Transit_Days,Distance,Crew_Experience_Level,Training_Programs,Navigational_Risks,Carbon_Emissions,Operational_Cost,Total_Revenue,Regulatory_Compliance,Previous_Safety_Awards,Emergency_Response_Plans,Cargo_Type,Ship_Type,Average_Vessel_Age,Cargo_Value,RiskScore,Scaled_RiskScore,Risk_Category
0,PortC,PortX,0,1,0,21,2,20,1517,12,irregular,clear,750,407396,1067291,compliant,no,not in place,hazardous,bulk carrier,9,339388,31090.745,36.9702770713826,Medium
1,PortC,PortX,0,1,6,80,0,16,1795,12,regular,clear,874,418250,940188,compliant,no,not in place,non-hazardous,container,16,520465,31997.2,38.47788701262198,Medium
2,PortB,PortX,0,2,6,10,2,21,1271,15,regular,clear,937,227480,947974,non-compliant,no,in place,non-hazardous,container,5,589076,17573.405,14.48832687737109,Low
3,PortC,PortY,1,1,6,42,2,19,1461,16,irregular,clear,675,359124,783990,compliant,no,not in place,non-hazardous,bulk carrier,16,387709,27441.7,30.90120964053402,Medium
4,PortA,PortZ,0,1,5,23,0,19,1356,16,regular,congested areas,819,256332,905045,non-compliant,yes,not in place,hazardous,container,12,340003,19733.745,18.081390030486336,Low
5,PortB,PortX,0,1,0,73,0,16,1126,14,irregular,congested areas,947,431660,835480,compliant,no,not in place,hazardous,container,4,190436,32850.795,39.89758055261263,Medium
6,PortC,PortX,1,1,6,52,2,17,1483,14,regular,clear,786,426429,1007518,compliant,no,not in place,hazardous,bulk carrier,11,273958,32516.35,39.34133384781448,Medium
7,PortB,PortZ,1,1,5,67,1,23,1475,15,regular,clear,888,295024,801336,non-compliant,no,in place,hazardous,container,8,337326,22680.774999999998,22.982870771538767,Low
8,PortA,PortY,1,3,2,50,2,22,1802,15,irregular,clear,627,302641,1149469,compliant,yes,in place,non-hazardous,container,12,278493,23282.16,23.98309031306289,Low
9,PortC,PortY,0,0,4,90,2,16,1626,10,regular,congested areas,978,327549,698662,non-compliant,no,not in place,non-hazardous,bulk carrier,12,289009,25173.915,27.129444676367527,Low
10,PortA,PortY,0,4,6,77,2,20,1295,14,irregular,clear,779,195153,829022,compliant,no,in place,non-hazardous,container,5,507538,15123.78,10.414126831799594,Low
11,PortA,PortZ,0,1,0,48,2,23,1870,13,regular,congested areas,852,394521,1201580,non-compliant,yes,in place,hazardous,container,10,352879,30234.449999999997,35.54609290930773,Medium
12,PortB,PortZ,0,4,5,10,0,13,1744,15,regular,congested areas,725,346263,884729,non-compliant,yes,in place,hazardous,container,14,361821,26555.899999999998,29.427952958238876,Low
13,PortB,PortY,0,4,5,50,2,22,1616,20,regular,congested areas,776,441743,752768,compliant,yes,in place,hazardous,container,15,282580,33697.975,41.30660470716986,Medium
14,PortB,PortY,1,3,2,54,1,17,1454,15,regular,congested areas,636,285514,982860,compliant,no,in place,hazardous,container,10,467754,21910.835,21.702311672457352,Low
15,PortC,PortZ,1,1,3,97,0,22,1308,14,irregular,congested areas,698,316907,878691,compliant,yes,in place,hazardous,bulk carrier,14,328742,24241.94,25.579390040465498,Low
16,PortC,PortY,0,4,4,97,1,16,1425,16,irregular,congested areas,697,244373,824619,compliant,no,not in place,hazardous,container,13,297913,18830.34,16.578852829008756,Low
17,PortB,PortX,0,1,3,88,1,12,1717,15,regular,congested areas,726,279253,785619,non-compliant,yes,not in place,non-hazardous,container,11,191924,21522.785,21.05690948735391,Low
18,PortC,PortZ,0,2,0,90,1,13,1876,15,regular,clear,767,272635,1365256,non-compliant,no,in place,hazardous,container,14,343889,21074.6,20.31149116927483,Low
19,PortC,PortY,0,2,4,22,1,20,1808,16,irregular,clear,679,444417,912267,non-compliant,yes,in place,hazardous,bulk carrier,7,294794,33925.92,41.68572131864623,Medium
20,PortB,PortX,0,2,2,80,0,21,1402,19,regular,clear,893,320061,661164,non-compliant,yes,in place,hazardous,bulk carrier,12,518457,24540.06,26.07522124629732,Low
21,PortA,PortZ,1,4,0,18,0,16,1276,12,irregular,congested areas,932,386653,1174056,non-compliant,yes,not in place,non-hazardous,bulk carrier,3,534389,29511.17,34.34313841261499,Medium
22,PortC,PortZ,1,2,4,72,1,22,1528,15,regular,congested areas,725,330862,1041660,non-compliant,no,not in place,non-hazardous,container,11,226471,25349.69,27.42179249001668,Low
23,PortC,PortX,1,3,4,32,1,13,1146,13,regular,clear,942,260332,835030,non-compliant,yes,not in place,hazardous,container,19,237784,20005.214999999997,18.532897133153597,Low
24,PortA,PortZ,0,3,3,63,0,19,1564,16,irregular,congested areas,909,352654,810032,compliant,no,not in place,non-hazardous,container,10,322368,27028.76,30.21441057258758,Medium
25,PortA,PortY,0,4,0,56,0,15,1470,13,regular,congested areas,749,411348,1051020,compliant,yes,not in place,non-hazardous,container,18,268396,31373.894999999997,37.4412102725475,Medium
26,PortA,PortZ,1,1,2,48,0,17,1406,14,irregular,congested areas,615,271966,912962,compliant,yes,not in place,non-hazardous,container,10,371741,20877.98,19.98447408994217,Low
27,PortB,PortY,1,0,2,96,2,20,1181,14,irregular,congested areas,627,430595,661103,compliant,yes,in place,hazardous,bulk carrier,6,317337,32722.31,39.68388515317179,Medium
28,PortA,PortX,0,1,0,35,2,16,1602,16,irregular,congested areas,772,300924,1218085,compliant,no,not in place,non-hazardous,container,15,378053,23130.195,23.730343133423037,Low
29,PortB,PortX,1,1,0,10,2,18,1393,16,irregular,congested areas,645,333941,884901,compliant,no,not in place,non-hazardous,container,14,451609,25529.82,27.72138351076835,Low
30,PortA,PortZ,1,1,5,23,1,24,1266,12,irregular,congested areas,927,404633,1174335,compliant,no,not in place,non-hazardous,bulk carrier,23,243577,30857.87,36.58296091661913,Medium
31,PortA,PortX,0,1,1,83,2,17,925,15,irregular,congested areas,835,319401,1141765,compliant,yes,in place,hazardous,bulk carrier,7,449521,24359.355,25.774673889361054,Low
32,PortB,PortX,1,0,3,74,1,23,1494,13,regular,congested areas,813,366862,799848,non-compliant,no,not in place,non-hazardous,bulk carrier,13,277134,28058.434999999998,31.926959200203576,Medium
33,PortB,PortZ,1,2,0,78,1,15,1854,12,irregular,congested areas,684,353067,1104978,compliant,no,in place,hazardous,bulk carrier,13,564848,27086.375,30.310235458284623,Medium
34,PortA,PortY,1,1,0,76,2,22,1832,14,irregular,congested areas,881,385954,852283,compliant,yes,in place,non-hazardous,bulk carrier,17,512097,29588.575,34.471877894995956,Medium
35,PortA,PortZ,0,3,1,58,1,25,1408,14,regular,congested areas,831,176475,669994,compliant,yes,not in place,hazardous,container,14,338691,13762.1,8.14938969119489,Low
36,PortA,PortZ,1,4,1,59,2,10,1379,19,irregular,clear,684,216307,886310,non-compliant,no,not in place,hazardous,container,10,253641,16710.2,13.052650049147367,Low
37,PortC,PortY,1,4,4,67,2,16,1593,15,regular,congested areas,664,411003,1009645,compliant,no,not in place,hazardous,container,6,234513,31363.364999999998,37.42369684641906,Medium
38,PortA,PortY,1,3,6,62,0,22,1300,12,irregular,congested areas,733,454842,880589,non-compliant,yes,in place,hazardous,container,13,437362,34592.955,42.79512950455134,Medium
39,PortB,PortY,0,1,2,66,2,19,1560,13,irregular,clear,750,294509,903942,non-compliant,no,not in place,hazardous,container,13,346959,22634.955,22.906663251576298,Low
40,PortC,PortZ,0,0,3,95,0,21,1653,17,irregular,clear,714,352612,1121534,compliant,yes,in place,non-hazardous,bulk carrier,15,442686,27007.94,30.17978288673819,Medium
41,PortB,PortY,1,2,4,27,2,17,1745,19,regular,clear,663,402098,965974,non-compliant,yes,in place,non-hazardous,container,10,570422,30732.594999999998,36.37460436787841,Medium
42,PortC,PortX,0,4,0,25,2,20,1479,11,regular,congested areas,942,419105,823505,compliant,no,not in place,non-hazardous,container,13,272961,31998.645,38.480290327033714,Medium
43,PortC,PortY,1,2,1,11,0,19,1459,11,irregular,congested areas,962,199135,1055304,compliant,no,not in place,hazardous,bulk carrier,4,226986,15499.275,11.038647624211439,Low
44,PortB,PortX,0,0,5,22,0,24,1324,18,irregular,clear,951,297579,979651,compliant,yes,not in place,hazardous,bulk carrier,6,369256,22846.62,23.258703075078213,Low
45,PortC,PortY,0,4,2,54,2,21,1334,15,regular,clear,757,346617,571759,non-compliant,no,in place,hazardous,container,16,464475,26488.909999999996,29.316535634749435,Low
46,PortB,PortX,1,2,4,89,1,21,1454,13,regular,clear,676,419048,1014252,compliant,yes,not in place,non-hazardous,container,12,255953,31934.414999999997,38.37346341723035,Medium
