High_Incidents,Medium_Incidents,Low_Incidents,No_Of_Travels,No_Of_Transhipments,Average_Transit_Days,Distance,Crew_Experience_Level,Training_Programs,Navigational_Risks,Carbon_Emissions,Operational_Cost,Regulatory_Compliance,Previous_Safety_Awards,Emergency_Response_Plans,Cargo_Type,Ship_Type,Average_Vessel_Age,Cargo_Value,RiskScore
0.0,1.0,0,21.0,2,20.0,1517,12.0,0,0,750,407396.0,0,0,1,1,0,9,339388,37
0.0,1.0,6,80.0,0,16.0,1795,12.0,1,0,874,418250.0,0,0,1,2,1,16,520465,38
0.0,2.0,6,10.0,2,21.0,1271,15.0,1,0,937,227480.0,1,0,0,2,1,5,589076,14
1.0,1.0,6,42.0,2,19.0,1461,16.0,0,0,675,359124.0,0,0,1,2,0,16,387709,31
0.0,1.0,5,23.0,0,19.0,1356,16.0,1,1,819,256332.0,1,1,1,1,1,12,340003,18
0.0,1.0,0,73.0,0,16.0,1126,14.0,0,1,947,431660.0,0,0,1,1,1,4,190436,40
1.0,1.0,6,52.0,2,17.0,1483,14.0,1,0,786,426429.0,0,0,1,1,0,11,273958,39
1.0,1.0,5,67.0,1,23.0,1475,15.0,1,0,888,295024.0,1,0,0,1,1,8,337326,23
1.0,3.0,2,50.0,2,22.0,1802,15.0,0,0,627,302641.0,0,1,0,2,1,12,278493,24
0.0,0.0,4,90.0,2,16.0,1626,10.0,1,1,978,327549.0,1,0,1,2,0,12,289009,27
0.0,4.0,6,77.0,2,20.0,1295,14.0,0,0,779,195153.0,0,0,0,2,1,5,507538,10
0.0,1.0,0,48.0,2,23.0,1870,13.0,1,1,852,394521.0,1,1,0,1,1,10,352879,36
0.0,4.0,5,10.0,0,13.0,1744,15.0,1,1,725,346263.0,1,1,0,1,1,14,361821,29
0.0,4.0,5,50.0,2,22.0,1616,20.0,1,1,776,441743.0,0,1,0,1,1,15,282580,41
1.0,3.0,2,54.0,1,17.0,1454,15.0,1,1,636,285514.0,0,0,0,1,1,10,467754,22
1.0,1.0,3,97.0,0,22.0,1308,14.0,0,1,698,316907.0,0,1,0,1,0,14,328742,26
0.0,4.0,4,97.0,1,16.0,1425,16.0,0,1,697,244373.0,0,0,1,1,1,13,297913,17
