RouteID,POL,POD,High_Incidents,Medium_Incidents,Low_Incidents,No_Of_Travels,No_Of_Transhipments,Average_Transit_Days,Distance,Crew_Experience_Level,Training_Programs,Navigational_Risks,Carbon_Emissions,Operational_Cost,Total_Revenue,Regulatory_Compliance,Previous_Safety_Awards,Emergency_Response_Plans,Cargo_Type,Ship_Type,Average_Vessel_Age,Cargo_Value,RiskScore,Risk_Category
0,PortC,PortX,0,1,0,21,2,20,1517,12,irregular,clear,750,407396,1067291,compliant,no,not in place,hazardous,bulk carrier,9,339388,37,Medium
1,PortC,PortX,0,1,6,80,0,16,1795,12,regular,clear,874,418250,940188,compliant,no,not in place,non-hazardous,container,16,520465,38,Medium
2,PortB,PortX,0,2,6,10,2,21,1271,15,regular,clear,937,227480,947974,non-compliant,no,in place,non-hazardous,container,5,589076,14,Low
3,PortC,PortY,1,1,6,42,2,19,1461,16,irregular,clear,675,359124,783990,compliant,no,not in place,non-hazardous,bulk carrier,16,387709,31,Medium
4,PortA,PortZ,0,1,5,23,0,19,1356,16,regular,congested areas,819,256332,905045,non-compliant,yes,not in place,hazardous,container,12,340003,18,Low
5,PortB,PortX,0,1,0,73,0,16,1126,14,irregular,congested areas,947,431660,835480,compliant,no,not in place,hazardous,container,4,190436,40,Medium
6,PortC,PortX,1,1,6,52,2,17,1483,14,regular,clear,786,426429,1007518,compliant,no,not in place,hazardous,bulk carrier,11,273958,39,Medium
7,PortB,PortZ,1,1,5,67,1,23,1475,15,regular,clear,888,295024,801336,non-compliant,no,in place,hazardous,container,8,337326,23,Low
8,PortA,PortY,1,3,2,50,2,22,1802,15,irregular,clear,627,302641,1149469,compliant,yes,in place,non-hazardous,container,12,278493,24,Low
9,PortC,PortY,0,0,4,90,2,16,1626,10,regular,congested areas,978,327549,698662,non-compliant,no,not in place,non-hazardous,bulk carrier,12,289009,27,Low
10,PortA,PortY,0,4,6,77,2,20,1295,14,irregular,clear,779,195153,829022,compliant,no,in place,non-hazardous,container,5,507538,10,Low
11,PortA,PortZ,0,1,0,48,2,23,1870,13,regular,congested areas,852,394521,1201580,non-compliant,yes,in place,hazardous,container,10,352879,36,Medium
12,PortB,PortZ,0,4,5,10,0,13,1744,15,regular,congested areas,725,346263,884729,non-compliant,yes,in place,hazardous,container,14,361821,29,Low
13,PortB,PortY,0,4,5,50,2,22,1616,20,regular,congested areas,776,441743,752768,compliant,yes,in place,hazardous,container,15,282580,41,Medium
14,PortB,PortY,1,3,2,54,1,17,1454,15,regular,congested areas,636,285514,982860,compliant,no,in place,hazardous,container,10,467754,22,Low
15,PortC,PortZ,1,1,3,97,0,22,1308,14,irregular,congested areas,698,316907,878691,compliant,yes,in place,hazardous,bulk carrier,14,328742,26,Low
16,PortC,PortY,0,4,4,97,1,16,1425,16,irregular,congested areas,697,244373,824619,compliant,no,not in place,hazardous,container,13,297913,17,Low
17,PortB,PortX,0,1,3,88,1,12,1717,15,regular,congested areas,726,279253,785619,non-compliant,yes,not in place,non-hazardous,container,11,191924,21,Low
18,PortC,PortZ,0,2,0,90,1,13,1876,15,regular,clear,767,272635,1365256,non-compliant,no,in place,hazardous,container,14,343889,20,Low
19,PortC,PortY,0,2,4,22,1,20,1808,16,irregular,clear,679,444417,912267,non-compliant,yes,in place,hazardous,bulk carrier,7,294794,42,Medium
20,PortB,PortX,0,2,2,80,0,21,1402,19,regular,clear,893,320061,661164,non-compliant,yes,in place,hazardous,bulk carrier,12,518457,26,Low
21,PortA,PortZ,1,4,0,18,0,16,1276,12,irregular,congested areas,932,386653,1174056,non-compliant,yes,not in place,non-hazardous,bulk carrier,3,534389,34,Medium
