Route_Id,Origin_Port,Destination_Port,Orgin_Port_Country,Destination_Port_Country,No_Of_Stops,Stops_Names,Stop_Points,Average_Transit_Days,Distance,Vessel_Type,No_Of_Travels,Total_Incidents_Count,Risk_Score
R0001,HERAKLION,TURBO,GREECE,COLOMBIA,0,"PIRAEUS,SINES,CRISTOBAL",0,33,6343,Bulk carrier,3161,120,14
R0002,VOLOS,TURBO,GREECE,COLOMBIA,0,"PIRAEUS,SINES,CRISTOBAL",0,31,6368,Tank,2065,151,27
R0003,ALMERIA,TURBO,SPAIN,COLOMBIA,0,"VALENCIA,SINES,CRISTOBAL",0,37,5318,Container Shipo,2908,113,13
R0004,ALGECIRAS,TURBO,SPAIN,COLOMBIA,0,"SINES,CRISTOBAL",0,23,4686,Reefer ship,2535,124,18
R0005,LA SPEZIA,TURBO,ITALY,COLOMBIA,0,"SINES,CRISTOBAL",0,33,5559,Project cargo ship,1188,130,42
R0006,RIJEKA,CORONEL,CROATIA,CHILE,0,"GIOIA TAURO,SINES",0,61,8959,Barge,1499,126,30
R0007,RIJEKA,SAN ANTONIO,CROATIA,CHILE,0,"GIOIA TAURO,SINES",0,58,8809,Dredgers,1269,145,43
R0008,RIJEKA,TURBO,CROATIA,COLOMBIA,0,"GIOIA TAURO,SINES,CRISTOBAL",0,53,6330,Tugs,3088,103,12
R0009,KOPER,CORONEL,SLOVENIA,CHILE,0,"GIOIA TAURO,SINES",0,62,9021,Corvette,758,133,62
R0010,KOPER,SAN ANTONIO,SLOVENIA,CHILE,0,"GIOIA TAURO,SINES",0,59,8871,Reefer Vessel,3500,116,13
R0011,KOPER,TURBO,SLOVENIA,COLOMBIA,0,"GIOIA TAURO,SINES,CRISTOBAL",0,54,6392,Frigate,1531,134,30
R0012,PLOCE,CORONEL,CROATIA,CHILE,0,"GIOIA TAURO,SINES",0,59,8813,Offshore Ships,2215,134,21
R0013,PLOCE,SAN ANTONIO,CROATIA,CHILE,0,"GIOIA TAURO,SINES",0,56,8663,Heavy Lift Ships,1424,127,32
R0014,PLOCE,TURBO,CROATIA,COLOMBIA,0,"GIOIA TAURO,SINES,CRISTOBAL",0,51,6184,Panamax Ship,2750,142,18
R0015,CAGLIARI,CORONEL,ITALY,CHILE,0,"GIOIA TAURO,SINES",0,60,8641,Tanker,2525,127,19
R0016,CAGLIARI,SAN ANTONIO,ITALY,CHILE,0,"GIOIA TAURO,SINES",0,57,8491,Canoe,1219,129,39
R0017,CAGLIARI,TURBO,ITALY,COLOMBIA,0,"GIOIA TAURO,SINES,CRISTOBAL",0,52,6012,Hovercraft,1662,127,29
R0018,RIJEKA,CARTAGENA,CROATIA,COLOMBIA,0,"GIOIA TAURO,SINES,CRISTOBAL",0,51,6361,Submarine,1209,117,35
R0019,PLOCE,CARTAGENA,CROATIA,COLOMBIA,0,"GIOIA TAURO,SINES,CRISTOBAL",0,49,6215,Yacht,2833,144,18
R0020,GENOA,CORONEL,ITALY,CHILE,0,"VALENCIA,SINES",0,44,8211,Sailboat,3143,131,15
R0021,GENOA,SAN ANTONIO,ITALY,CHILE,0,"VALENCIA,SINES",0,41,8061,Gas carrier,3481,150,16
R0022,GENOA,TURBO,ITALY,COLOMBIA,0,"VALENCIA,SINES,CRISTOBAL",0,36,5582,High-speed craft,2181,135,24
R0023,LEGHORN,TURBO,ITALY,COLOMBIA,0,"VALENCIA,SINES,CRISTOBAL",0,39,5598,Passenger ship,692,127,63
R0024,ALGECIRAS,BUENAVENTURA,SPAIN,COLOMBIA,0,"SINES,RODMAN",0,29,5257,Roll-on/roll-off,2522,115,17
